,0,1,2,3,4,5,6,7
0,-1,-1,-1,1,0,0,-1,0
1,-2,-2,-1,-1,-1,0,-1,-2
2,0,0,0,-1,-2,0,-1,3
3,-2,-6,3,-1,0,-1,-1,-2
4,1,10,-4,0,-3,-1,0,-1
5,-1,-2,0,-1,-2,-2,-2,0
6,-2,-2,-3,-2,-1,-1,0,-1
7,-1,-1,-1,-2,0,-1,-1,-3
8,0,0,-1,-1,-1,-1,-1,-1
9,1,1,3,0,0,-2,-2,-1
10,-1,-3,-9,-1,-1,-1,-1,-1
11,-1,1,-1,0,-1,0,-1,-1
12,-2,-3,0,-2,-1,-2,-1,-2
13,-2,-1,-3,-1,-1,-1,-3,-1
14,1,2,-12,0,-1,-1,0,-3
15,-3,-12,-1,-8,-4,-3,-2,-1
16,-3,-1,0,-1,-1,-2,-3,-2
17,1,-7,-2,0,0,0,2,1
18,1,4,-8,0,-1,0,-1,0
19,-2,-1,-1,-1,1,-2,-1,-1
20,-3,-6,-10,0,-1,-2,-2,-2
21,-1,-3,-3,-4,-2,-3,-3,-1
22,-1,-3,11,0,-2,-2,-1,-1
23,1,-1,-1,1,-1,-2,-2,-1
24,3,2,24,5,4,0,-1,2
25,-4,-21,-5,-5,-10,-3,-2,-5
26,-1,30,2,-6,-3,-4,-3,1
27,3,-1,60,-1,-2,3,3,-3
28,-9,-23,-5,5,-1,-4,-5,-9
29,10,35,8,-8,1,5,5,14
30,-6,-14,-5,0,-2,-2,-3,-3
31,-2,22,-2,10,0,-3,-3,-3
32,1,10,-6,-2,0,3,3,5
33,-1,-11,2,6,4,-1,-2,-5
34,2,7,24,5,0,-1,1,11
35,-2,7,-12,-7,-3,-1,-4,-15
36,-2,-21,-20,7,0,1,2,-15
37,-1,0,-9,-2,-4,-2,-5,0
38,-2,-2,-17,-7,-1,-2,1,18
39,-1,-49,-47,-1,-1,-1,-6,-9
40,4,33,10,-7,-2,1,4,1
41,-7,-3,15,0,-2,-3,-1,-8
42,-6,-25,-28,-7,-5,-6,-19,-44
43,16,33,19,5,4,5,20,51
44,-1,-3,14,-2,-3,0,-7,-7
45,-6,-7,-29,-4,-2,-2,-2,-15
46,-6,-4,16,2,-3,-4,-8,-3
47,-3,-21,-54,-11,-2,-6,-10,-20
48,-3,6,-33,-8,-6,0,-7,5
49,-3,-1,25,3,0,1,16,16
50,2,-10,1,-1,2,3,4,4
51,-3,-13,4,-2,-1,-1,-4,0
52,0,20,-4,-3,0,-4,0,-5
53,-1,-10,-9,0,-1,-2,-6,1
54,0,3,0,-2,2,4,5,-16
55,-4,6,9,0,-1,0,-3,6
56,0,-10,6,-2,-2,-4,0,1
57,-1,2,1,-1,-1,-3,-8,-11
58,3,-5,8,0,-1,-1,3,6
59,-4,11,2,3,1,0,1,-4
60,1,-13,1,1,-4,-1,0,1
61,3,14,-1,-2,-2,-1,1,3
62,1,5,-1,2,0,0,2,5
63,-5,-3,-5,-2,-2,-3,-2,-8
64,-2,-1,10,-2,-1,1,3,5
65,-1,-11,-2,9,4,-1,-2,-1
66,-3,1,-5,-8,-6,-5,-1,2
67,5,27,-9,-8,0,2,6,5
68,-4,-20,-2,-3,1,0,0,-2
69,0,0,-1,3,-1,-3,-1,-1
70,-1,-4,1,-2,0,0,0,-1
71,-2,-1,-2,0,4,2,0,-3
72,-2,4,-3,-6,-4,-3,-4,0
73,-2,-3,-2,-8,-4,-9,-8,-4
74,-2,-1,-4,7,1,-1,-1,1
75,0,-3,7,-10,-6,-1,-2,-3
76,0,-4,0,-4,2,3,1,2
77,-1,2,-1,2,6,6,3,0
78,-4,-6,15,3,-1,1,1,1
79,1,-4,5,7,2,-2,-3,-1
80,-1,-4,-3,3,0,0,0,-2
81,0,10,-16,-6,-3,-2,-2,0
82,-1,-11,-5,-2,1,3,2,-2
83,-5,-2,5,4,-1,2,-1,-1
84,2,12,49,5,-2,-3,-1,0
85,-9,-30,-14,-5,-3,-4,-6,-5
86,6,38,4,-1,-2,-4,0,1
87,-6,-2,14,7,-1,0,0,-2
88,-3,10,-51,-7,0,0,0,2
89,-4,5,22,2,-1,1,0,-3
90,2,-26,-22,-6,-5,-4,-3,1
91,-4,4,5,-3,-4,-2,-4,-3
92,2,3,1,1,0,1,0,1
93,-1,7,-14,0,0,0,1,-1
94,-6,-9,39,1,4,0,2,-3
95,6,11,15,4,-1,-2,-1,-2
96,1,-16,-49,-3,-2,-2,-2,-1
97,0,-14,23,13,2,2,-1,2
98,11,-14,-11,4,-1,1,0,3
99,-6,27,36,-2,-4,-3,-3,-4
100,-14,-2,5,-8,-3,-4,-2,-5
101,6,-2,4,-6,-3,1,0,1
102,4,18,-25,1,0,3,2,0
103,-2,-15,2,2,-1,-3,-4,-2
104,-1,-9,22,12,4,-4,0,-3
105,-2,6,-19,-8,-5,-5,-4,1
106,-3,-17,-1,-8,-1,0,1,0
107,3,-10,-20,-9,-1,3,4,3
108,3,14,18,-1,-3,-1,0,0
109,2,-19,-31,-8,-4,-3,-2,-3
110,6,8,-12,6,4,-2,-4,2
111,-16,-1,-21,-4,-4,-6,-4,-4
112,0,-26,4,-2,-2,-1,-1,0
113,-2,21,27,2,0,2,0,-3
114,-6,-14,-3,-10,-4,1,-2,-3
115,3,-3,-24,6,0,-1,1,-1
116,-4,-7,4,0,-2,-3,-3,-4
117,-3,-3,20,-8,-3,-1,-1,1
118,-15,13,-4,5,-3,-2,-3,-11
119,3,-35,-39,1,3,3,0,0
120,7,23,35,-3,-1,-1,-3,1
121,-3,-19,-36,5,3,4,2,1
122,8,15,23,-6,-4,-4,-3,-1
123,0,4,10,-6,-1,-2,-1,-2
124,-4,-3,-2,1,-2,0,-1,-2
125,0,-2,6,-1,-1,-5,-3,-2
126,7,1,3,2,-1,0,-1,0
127,-17,-1,-5,-3,-3,-3,-6,-13
128,6,0,-12,-1,-2,2,3,5
129,-2,9,10,0,1,3,1,0
130,1,-10,-8,7,1,-4,-1,-5
131,-1,2,-19,-15,-4,-6,-8,-8
132,-33,-16,-24,-3,3,-5,-4,-17
133,2,6,3,1,-3,1,0,1
134,-6,3,-4,-2,-2,0,1,0
135,14,-5,19,4,2,2,3,11
136,8,12,17,-1,-4,0,0,4
137,-3,3,-2,0,-1,0,-1,0
138,-9,-12,-1,-3,-1,-1,7,29
139,3,4,10,1,-3,-4,-10,-43
140,8,3,-40,-5,0,-1,-4,6
141,2,-19,16,-1,-1,-5,0,1
142,-8,-8,-28,-5,-1,1,-5,-13
143,2,-3,-5,-4,-5,-6,-6,8
144,23,-2,-5,3,-1,-1,12,48
145,-15,3,-6,-3,0,1,-11,-35
146,2,1,0,-1,-1,1,1,15
147,2,-1,-2,0,-3,1,14,30
148,-7,-5,7,-3,-2,-3,-21,-70
149,-2,11,-6,0,0,-5,-11,3
150,2,2,26,2,-1,0,3,2
151,-8,2,2,4,3,3,11,2
152,14,5,13,1,1,3,20,57
153,-22,-6,-10,-6,-6,-7,-1,15
154,32,14,3,2,6,4,-14,-54
155,-1,-1,1,-1,0,0,-4,7
156,-13,-8,-1,-2,-3,-4,-9,-20
157,1,3,-10,0,0,-2,-3,-3
158,-2,-4,1,-7,-7,-6,5,14
159,-3,-3,3,3,4,4,13,25
160,0,2,-2,3,2,3,1,-13
161,1,14,31,-1,-1,-1,-10,-25
162,-10,-6,22,9,2,-4,-5,-1
163,10,20,5,-3,-1,2,2,-5
164,-8,-3,-3,0,-4,-1,4,16
165,10,1,-4,4,3,2,11,20
166,-7,-8,-10,-4,-2,-3,-5,-8
167,-7,-5,0,0,-2,-2,-8,-13
168,-2,-2,-2,1,1,0,-1,-6
169,17,4,-9,-2,0,2,4,4
170,-2,3,2,-1,-1,0,2,6
171,-15,-7,-7,0,-1,-4,-7,-18
172,-2,0,-3,-3,-4,-2,-1,-3
173,-4,-1,-11,0,-1,-2,-4,-9
174,-3,1,-7,-1,-4,-1,5,10
175,1,-3,0,-1,1,1,2,5
176,-4,-2,-3,-4,-3,-4,-11,-13
177,-9,-4,-3,-1,-3,-1,-1,-4
178,5,1,-6,0,-1,0,0,1
179,-2,-4,-5,-2,-4,-5,-5,-2
180,3,1,2,1,1,-1,0,-2
181,-7,-8,-15,-3,-1,-1,1,9
182,-7,11,52,0,-2,-5,-4,-11
183,6,-15,-23,2,3,2,-1,1
184,-4,6,-12,-3,-3,-3,-4,-10
185,9,0,1,-1,0,0,4,0
186,-7,-2,-27,-3,-3,-2,1,25
187,1,3,20,1,1,1,-5,-18
188,-10,-2,8,0,-1,-2,-2,-7
189,10,2,-5,1,-2,0,4,6
190,-3,-3,1,-2,0,1,-1,-1
191,-6,2,-1,-5,-3,-5,-5,-2
192,5,-4,-7,-3,0,0,1,6
193,-2,0,7,-3,-2,-2,-2,-4
194,-7,-8,-15,-4,-1,-3,-7,-8
195,1,-1,0,-2,-2,-2,1,6
196,0,-4,14,0,1,-1,-1,-3
197,-1,5,2,-2,-2,-3,-1,-3
198,2,-4,-5,0,0,-1,1,0
199,-2,-1,-2,0,-4,-1,-2,-2
200,3,5,-4,-1,-3,-2,2,5
201,1,-32,-8,1,0,1,1,2
202,-7,-7,-14,-4,-3,-4,-5,-13
203,3,19,0,-2,-2,-2,0,6
204,-5,-10,-24,-3,0,0,1,-2
205,2,7,1,1,1,2,-3,-13
206,2,-1,-9,-3,0,-1,4,4
207,1,-8,-3,0,0,0,-4,1
208,6,2,7,-1,0,0,6,7
209,-5,2,2,1,1,-2,-1,2
210,3,3,-7,0,-1,1,2,-12
211,4,-5,11,-2,-3,-2,2,11
212,-6,-3,2,0,0,0,-5,-17
213,1,-2,-6,-2,0,-2,2,9
214,4,3,-3,-2,-2,1,1,3
215,-2,-5,-2,-1,0,0,-1,-5
216,3,4,6,0,-3,-1,-2,5
217,-3,6,41,4,1,-1,-2,3
218,-4,3,-1,0,0,1,-1,-11
219,-5,-1,20,2,0,-1,0,8
220,-1,-3,-6,-1,0,0,-3,-14
221,4,11,-9,-3,-2,-2,-1,-5
222,-9,-9,7,-3,-6,-4,-4,2
223,-3,-5,-36,-6,-2,-2,-4,-6
224,-1,-5,-9,-4,-3,-2,4,19
225,-2,-3,-5,0,1,0,-7,-18
226,-3,-4,-1,10,6,-1,-4,-6
227,3,0,-10,-15,-12,-2,1,-10
228,-1,3,3,1,1,1,0,8
229,-5,-13,-27,-6,-3,-2,0,1
230,3,1,-1,-3,-1,-1,-4,1
231,-3,-6,1,6,1,0,-3,-2
232,2,4,4,-1,-1,0,2,0
233,2,1,4,0,-1,0,-1,13
234,-1,-4,-9,-3,-2,-2,12,33
235,-6,4,6,4,3,0,-7,-15
236,-6,-3,3,-1,-1,-1,-19,-52
237,-3,-2,-11,-2,-2,-1,3,8
238,-9,-10,2,-1,-3,-3,-3,-9
239,8,-2,-47,-3,0,-2,11,25
240,-6,-17,9,-10,-5,-4,1,3
241,-3,-3,-5,-8,-5,-1,-1,-10
242,-2,20,1,2,2,-1,-2,2
243,-4,5,-9,-10,-5,-1,-5,-5
244,-1,2,-3,6,1,-1,-2,0
245,3,-4,2,1,-1,-1,0,1
246,5,14,2,7,0,0,0,-2
247,-5,-6,13,-10,0,-2,-4,-9
248,0,1,-4,-6,-3,-1,1,3
249,-1,3,9,3,-1,-2,-1,5
250,0,-3,-4,1,-2,-1,-4,-9
251,2,2,11,16,10,-1,0,-2
252,-9,-8,-11,-21,-12,-3,0,8
253,-3,1,2,-3,-2,-1,-1,-1
254,-2,-7,-2,-1,1,0,-2,-8
255,-2,-1,6,3,-3,-2,-2,-2
256,2,8,-19,12,8,-2,-1,4
257,5,-9,23,6,5,0,1,1
258,0,24,9,-11,1,1,-2,-2
259,0,-1,21,0,-15,-5,-1,3
260,3,3,2,-9,0,-1,-3,3
261,-14,-3,-7,0,-2,-2,-3,-5
262,2,0,-5,-1,-3,-2,-2,-11
263,-1,-8,-5,-2,0,-1,0,-1
264,0,1,2,4,5,-1,1,0
265,1,-2,-3,-3,-3,-2,1,3
266,-2,-14,0,-3,0,1,-3,-2
267,-8,-1,-3,3,6,-1,-4,-7
268,1,0,5,-4,-12,-2,-1,1
269,0,-4,-17,-5,0,0,-1,2
270,-5,-9,27,-1,-7,-1,-2,-6
271,0,-2,0,2,4,2,2,9
272,-1,-2,6,28,17,0,2,7
273,3,1,-6,-35,-11,3,-2,-21
274,-10,-10,-13,-21,6,-4,-6,-5
275,-2,-11,-13,-10,-22,-8,-4,-5
276,0,-2,6,-25,-20,-3,0,3
277,3,1,-5,4,0,-3,1,10
278,-2,-20,-19,2,-3,-1,0,-2
279,3,5,10,-3,9,3,1,-2
280,-2,2,-7,18,11,1,-1,-1
281,-1,0,-2,-5,-6,1,0,-2
282,4,12,21,3,2,2,1,0
283,-6,2,12,-3,-8,-3,-3,-4
284,7,-3,-2,1,-1,2,3,5
285,-2,9,5,5,5,0,-2,0
286,-1,-9,0,7,-6,-5,-3,-4
287,2,4,-3,12,6,0,-1,-3
288,-1,10,-12,2,1,-1,-2,-3
289,-5,-19,-5,-6,-5,-1,-1,-1
290,7,11,-3,-4,9,2,1,4
291,-11,-41,-47,1,-1,1,-1,-6
292,2,10,-5,-15,-13,-3,-3,-1
293,-4,-6,-16,18,5,-1,0,-2
294,4,0,-3,-3,-4,3,3,1
295,8,20,6,1,11,5,2,7
296,-8,-16,11,1,-6,-7,-7,-8
297,-3,2,-2,-12,-4,-15,-9,-7
298,-3,-1,-7,-5,-11,-8,-4,2
299,0,-4,12,-7,-2,3,2,-3
300,5,1,1,3,1,6,7,9
301,2,10,12,16,8,6,4,0
302,-8,-16,-13,-18,1,1,3,-2
303,-2,-1,22,9,-3,-3,-4,-5
304,-1,24,7,-14,-11,-1,1,-3
305,2,14,-19,3,0,-2,1,3
306,-2,-16,-22,-10,-7,-3,-1,-4
307,-4,-2,-8,-2,0,-3,-3,1
308,-12,-9,0,0,4,1,-1,-11
309,2,-9,1,0,-1,0,-1,-1
310,2,4,0,11,2,1,0,2
311,0,11,9,-5,2,-8,-3,-5
312,1,-12,3,18,11,-1,0,3
313,-12,-36,17,-41,-24,-5,-4,-4
314,3,51,-10,9,1,0,-3,-1
315,3,22,42,6,4,2,-2,-1
