0,1,2,3,4,5,6,7
0,-2,0,0,0,-1,-2,-2
0,0,-1,-1,0,-2,0,-1
0,0,0,-1,0,-2,-2,-2
-1,-3,-1,-2,-3,-1,3,-1
0,-2,-3,1,1,1,2,-1
0,-1,0,-1,-1,-3,-3,0
-1,-1,-1,0,3,0,-2,0
-2,-4,-2,-3,-6,-4,-6,-2
-1,-1,-2,1,2,1,-1,0
-1,-1,-4,-3,-12,-4,8,1
-1,0,-1,0,3,0,-1,1
0,1,0,0,-1,-3,-4,-1
-3,-1,-1,-1,-3,1,3,-1
-2,-1,1,2,6,0,-3,0
2,-2,-3,0,-6,-5,-3,-2
-2,-1,-3,-3,-2,-3,-1,-1
-1,-2,0,-1,-3,-1,-1,1
-1,0,0,1,2,0,-2,-4
-3,-2,-1,-1,-2,2,3,-3
-2,-2,0,-2,0,-5,-9,-2
-2,-1,-1,-4,-2,0,6,0
-1,-2,-1,-2,-3,-2,-2,2
-1,-1,-1,0,-1,-4,-6,-1
-1,0,-2,0,3,6,11,1
0,-1,-1,2,2,-4,-6,-2
-1,-2,-2,-1,0,2,2,0
-2,-1,0,-3,-5,1,1,-1
-2,0,-1,-2,2,-1,-3,-1
-2,-2,-3,-1,-9,-6,-9,-4
1,-1,0,-1,4,5,18,1
-1,-1,0,1,-5,-3,-2,-1
0,-2,-2,-2,-2,-2,-3,-2
1,-1,-1,-1,0,2,-1,0
-2,-2,-3,-3,-1,0,-7,-2
-1,-2,1,1,2,-2,-1,-3
-2,-1,-1,-2,-1,-3,-1,-2
2,0,2,-1,2,3,6,2
-2,-1,-1,1,-1,-1,-1,-2
-1,0,-2,-2,4,4,3,0
-2,0,-3,-2,-9,-13,-11,-1
-1,-1,1,-1,-2,-3,-3,-1
0,0,-1,-1,0,0,-4,-1
0,-1,-1,-1,-1,4,1,-1
0,-2,-1,0,1,3,-1,-2
0,-1,-2,-1,-4,-4,-3,-4
-3,-2,0,-3,-3,-2,0,-2
-2,-1,0,2,-3,-2,-7,-2
-1,0,-1,-1,0,5,8,3
0,-1,-3,-2,-1,-1,-3,-1
0,-1,-1,1,1,-3,-6,-1
-1,0,-1,-2,-1,-3,-2,-1
-1,-1,-1,0,0,-1,0,-2
-2,-1,-1,-2,0,-1,-1,-3
-1,-2,-2,-1,-3,-5,-7,-1
-1,-2,-1,-1,0,2,3,2
-2,1,1,0,-2,1,-4,-2
-2,-2,1,1,0,-7,-5,-1
1,-2,-3,-2,-1,0,-2,-1
-2,-2,-4,-4,-2,-2,-2,-4
2,1,0,1,1,-1,2,0
1,1,-1,2,2,0,1,1
-2,-3,-1,-2,-3,4,0,0
-1,-2,0,0,-1,-9,-4,-2
-2,-3,-3,-1,-1,1,-6,0
-1,-1,-2,-2,-1,-1,0,-2
-1,0,-1,-2,-2,-1,0,1
-2,-2,-2,-2,0,1,1,-2
-2,-2,0,0,-1,-1,0,-1
-3,-2,-3,-5,-2,-4,-2,-3
0,-2,-2,2,-1,-1,0,-1
0,-1,-1,0,0,-1,-6,-1
0,0,-1,-1,1,0,9,1
-1,-2,-1,-2,0,0,1,1
-1,-2,0,-2,-6,-6,-7,-4
0,1,-2,-2,2,-1,-2,0
-1,0,-1,-1,-1,-1,-6,-1
-1,-1,-3,-3,-5,1,5,-1
-1,-1,-2,-1,-1,-6,-6,-2
-1,-1,-1,-2,-3,-1,1,0
-1,0,0,0,1,1,1,-1
-1,-1,0,3,1,-1,0,-1
-1,-1,-1,-2,-3,3,2,-1
-1,-3,-2,-4,0,-3,-4,-3
-1,-1,1,-1,-1,-4,-6,-1
-2,-1,0,-1,-3,0,5,0
-1,-1,2,1,6,1,0,1
0,-1,-1,-2,-2,0,2,1
-1,-1,-3,-1,-3,-2,-7,-4
0,-2,-1,-1,-2,0,5,-1
-2,0,-2,-1,-3,-1,2,0
-2,-1,-2,0,0,-1,-1,1
1,-2,-3,-2,-1,-2,-3,-1
-1,-1,-1,-1,0,1,-3,0
1,-2,-1,-2,0,0,2,-1
-2,-2,-1,-3,-3,-4,5,-2
-2,-2,-1,-1,0,0,2,1
