0,1,2,3,4,5,6,7
0,0,-1,-2,2,1,0,2
-1,-3,-1,-3,-6,-7,-7,-2
-1,-1,-1,0,1,7,5,-1
-1,-2,0,-3,-1,-5,-2,-2
-1,-1,-3,-2,-1,1,4,-1
-3,0,-2,-2,-1,-1,-1,-2
-1,-1,1,1,2,-4,-8,0
-1,-1,0,0,-1,-1,-2,-1
0,-1,-1,0,7,5,-3,-2
-1,-1,-1,-2,-2,3,4,0
-2,-1,-2,-4,-8,-2,-2,-3
-1,0,-1,-1,0,-2,-3,-1
0,-1,1,1,-2,-1,-3,-1
-1,-2,0,0,3,-1,0,-3
-1,-1,-2,-1,0,-3,-1,0
-1,0,-2,-2,-4,-3,0,0
-3,-1,0,0,0,-1,-3,-1
0,-1,-1,-1,0,0,-1,0
0,-1,-2,1,-5,-7,-6,-1
-1,-3,-1,4,7,1,1,-1
0,0,0,-1,-3,3,-1,0
-1,0,-1,1,-1,-2,-2,-2
0,0,0,-1,0,2,1,0
0,0,1,1,7,9,1,1
0,-1,-1,-5,-8,-9,-3,-1
-2,-2,0,0,0,-3,-3,-3
-2,-2,-2,-4,-5,-4,-4,-1
-3,-1,-1,-1,-2,-1,-1,-1
-1,-1,0,1,5,4,-2,-1
-1,-1,-3,0,-3,-1,3,-1
0,0,-1,0,3,3,6,1
-1,-2,0,-2,-2,-2,-1,-1
-2,-2,-1,0,-4,-3,-2,-3
-2,-1,-2,-3,-4,-3,-1,-2
-2,-1,-2,-1,0,0,-7,-3
0,-2,-1,-3,-4,1,-2,-1
-1,0,0,2,2,8,4,-2
1,-1,-1,-1,1,-6,-2,1
-2,-3,-3,-2,-4,-2,2,-1
-2,-2,-2,0,-2,-6,-6,0
1,-2,-3,-3,-2,-1,-3,0
-3,-2,-2,-5,-13,2,3,-1
1,0,-1,-2,2,-1,-2,-2
0,1,2,0,-1,-1,-2,-2
-2,-1,-1,-1,0,-1,-3,0
-2,-1,0,-3,3,-2,-1,-1
-3,-1,0,1,0,-1,-3,0
-1,-1,-2,0,-1,0,0,-1
0,-2,0,-1,2,-2,0,0
0,-3,-3,-3,-4,-3,-7,-2
-1,-1,0,-1,1,-1,0,0
-1,-1,0,-2,-2,3,7,1
0,-2,-1,-2,-3,-10,-4,-1
-2,-1,-1,-3,-3,-1,-9,-1
-1,-2,-1,-2,1,2,3,-2
0,-1,-1,0,-4,-9,-1,0
-1,0,-1,-4,-3,5,2,0
0,0,0,0,2,-2,-1,-1
-2,-1,-1,-1,-2,2,-3,-1
-3,-2,-3,-1,1,1,-4,-2
-2,-1,-2,1,2,-2,-2,-3
1,0,1,-1,2,-3,-2,0
-1,-1,0,-2,-6,1,2,-1
-2,0,-2,-2,-2,-1,0,-1
-3,-1,-1,0,-2,-6,-2,-1
-2,-2,-3,2,3,1,-1,-2
0,-2,-2,0,0,-3,1,-1
-2,0,-1,-1,-2,2,0,-1
-1,-2,-1,-2,-2,0,-4,-2
-2,-1,-3,-3,-2,-1,-1,0
-1,-2,-1,-1,3,-1,-1,-1
1,-2,-2,-3,-10,-5,-1,-1
-1,-2,-1,0,-1,1,3,0
-1,-2,0,0,1,-1,3,0
-1,0,0,0,-1,2,-3,-1
0,0,-1,-2,2,0,-3,0
-1,-3,-4,-1,-3,-2,-4,-3
1,-1,-1,-1,4,-3,-1,-1
-1,-1,0,1,-2,-1,-1,-2
1,-2,-1,-3,-4,-4,-5,-2
-1,-1,1,-1,-9,-3,-1,0
0,-2,-3,2,2,7,0,0
-1,-3,-1,-1,2,1,1,1
-3,-1,-4,-2,-1,-5,-1,-3
-1,-3,-1,-1,1,0,-3,-1
-1,0,0,1,0,0,-3,1
-1,-1,0,-1,-4,-2,-2,0
-1,-2,0,-1,2,0,-3,-2
-2,0,-2,-2,0,3,-1,-1
-3,-2,-1,-4,-1,4,0,-2
0,-1,-3,-6,-12,-14,-9,-2
-1,0,-1,-1,0,-2,-1,0
-3,-1,-1,-1,1,-3,1,-1
0,-2,0,3,1,1,-1,-2
0,-1,-2,-1,-1,0,-2,-2
-2,0,-2,0,1,1,1,0
1,0,-1,-2,-3,-1,-2,-1
-1,-1,-2,0,-2,-4,-4,-2
-2,-2,-2,-3,-3,-3,3,-2
-2,-1,-1,1,0,1,2,0
-1,1,-1,0,1,1,0,-1
-1,0,-3,-5,-2,-3,-1,1
-2,-2,-1,-3,-5,-3,-3,-3
0,-2,0,1,6,4,0,-2
-2,1,-1,-2,-14,-4,-1,-2
1,-1,-2,1,6,2,3,0
-2,-2,-2,-3,-3,-3,-3,0
-1,-1,-2,-2,-6,-6,1,0
0,-1,1,1,5,2,0,0
-3,0,-1,-1,-1,2,1,0
1,0,-1,0,3,0,2,0
-2,-1,-1,-1,-5,-4,-3,-2
-1,1,-1,0,0,-2,-2,1
-1,-2,-1,1,0,1,-2,-2
-1,-1,-1,-5,-1,2,3,1
0,-3,-2,-4,-4,-2,-7,-1
0,-1,-2,-2,0,-4,-3,1
0,0,1,0,-2,0,6,0
-2,-1,-2,0,-2,-1,-1,-1
-1,-2,-1,0,-2,1,1,-3
-2,-1,-1,-1,2,1,0,0
-2,-1,-2,-2,-4,-4,-4,0
-2,0,-1,2,-1,2,0,-1
1,-2,-2,-2,1,3,1,-1
-2,-2,-2,-1,0,-4,-5,-2
-2,-1,-1,0,-3,-3,-1,0
0,-3,0,-2,2,2,1,0
-2,-1,-2,-1,-1,-2,-4,-2
0,-1,-1,-3,0,-6,6,-2
-1,-1,-1,-4,-5,-2,-10,-5
0,-1,-2,2,0,-2,1,1
-1,-1,0,-1,-2,2,5,1
-1,-1,-1,-2,-1,0,-15,-5
-1,-2,-3,-6,-6,-5,0,1
-1,-2,-1,1,3,3,-3,-3
-2,1,1,0,1,-1,7,-1
-1,-2,0,1,-2,1,6,0
-2,-2,0,-2,-2,-3,0,0
-1,-3,-3,-2,-3,-2,-3,-2
-2,-1,-1,0,2,-1,-5,0
-2,-2,-1,-3,-4,-2,-5,0
0,1,1,2,5,7,1,-2
-2,0,-1,-5,-2,-6,-1,0
0,-1,0,0,-2,-2,-1,0
1,-2,-3,-3,-5,1,0,-1
1,-2,-1,-2,-4,1,-1,-1
-3,0,0,1,-1,4,0,0
-1,-1,0,1,5,1,-4,-2
-2,-1,-1,1,3,0,-1,0
-2,-1,-2,0,-2,-5,1,-1
2,-1,-2,-1,-1,1,3,0
-4,-2,-1,-4,-4,-4,1,0
-2,0,0,0,-2,-2,-3,-2
-3,0,-1,0,0,0,-2,-1
-1,-2,-1,-1,-1,-3,-1,-2
-2,0,-2,-4,-2,-4,-5,-1
1,-1,-3,1,1,5,11,2
-2,-1,0,-1,-2,-6,-3,-2
-2,-1,0,2,4,2,2,1
-1,0,-1,-2,-6,-2,-4,-2
-2,-1,-1,-2,2,-7,-7,-1
0,-1,-2,-3,-5,-2,1,0
0,-1,0,1,1,1,-3,-2
-1,-1,-1,-4,-7,-3,-3,-2
-2,-2,0,-1,-1,-4,-3,-3
-2,-2,-3,-3,0,1,5,1
-1,0,-1,1,4,-3,-4,-2
-1,-1,-1,-1,9,7,-1,0
-1,-1,-3,-3,-14,-7,-6,-3
1,0,-2,-1,-2,-7,0,-2
-1,-2,-3,-3,-4,2,-1,0
-1,-1,1,2,4,2,8,1
0,0,1,-1,2,7,-9,1
1,0,-1,0,1,-1,-2,0
1,0,0,-3,-1,-3,-1,-1
-2,0,-2,0,0,0,0,1
0,-2,-1,-1,-3,0,-3,-2
-3,-1,1,-2,-1,-1,-4,-1
-2,-1,0,-1,0,3,-4,-1
-1,-1,0,1,-2,-5,4,-1
-1,-1,-1,-4,-1,0,4,-1
-1,-1,-2,-2,-6,0,-2,1
-1,-2,-3,0,-2,-4,-12,-3
0,-1,-2,0,-1,5,7,2
-2,-2,-1,-3,-4,-1,-5,-1
0,-2,-2,1,4,1,7,-2
-2,-1,1,1,-3,-3,-2,1
0,-2,-2,-1,-4,-2,-3,-2
0,-1,1,2,3,1,4,0
-1,-1,-2,-3,-4,-5,-6,-3
0,0,-3,-5,-3,-5,-6,-3
0,-2,-2,-1,-2,1,10,-1
-1,-2,-3,-1,0,0,-4,-4
-2,-2,1,2,2,0,-4,-3
-2,0,-2,-2,-5,6,4,1
-2,-1,-2,-1,1,-14,-13,-3
1,-2,-2,-2,-8,4,7,0
-2,-1,0,1,0,-5,-7,-2
1,-2,-3,-4,-3,5,13,0
-1,-1,0,1,1,1,-8,-1
-1,0,0,3,7,2,2,-1
-3,-2,-1,-5,-10,-8,-7,-1
0,-1,-1,-1,-3,0,2,-1
0,0,-2,-3,-2,2,-1,-2
